slot_id,procedure_code,section,display_order,role_code,slot_label,generic_requirement,requiredness,default_qty,selection_mode,allow_custom,dependency_rule,notes
SLOT-2015EC8357,WLL,Lavage circuit,7,GENERIC_SUCTION,Suction and large-volume collection canisters,Generic suction setup.,Required,1,Multiple,Yes,,
SLOT-ECF1B0860E,WLL,Rescue,8,CHEST_TUBE_SMALL_BORE,Chest tube kit available for rescue,Seldinger or pigtail pleural drainage catheter.,Conditional,1,Single,Yes,Local protocol,
SLOT-506C864DCC,WLL,Airway isolation,9,ENDOBRONCHIAL_BLOCKER,Endobronchial blocker - backup/alternative,Optional lung-isolation alternative; match ETT and bronchoscope dimensions.,Conditional,1,Single select,Yes,,
SLOT-D49EAA8281,EBV,Platform,1,FLEX_SCOPE_THERAPEUTIC,Therapeutic bronchoscope,Flexible bronchoscope with a larger working channel for therapeutic accessories and suction.,Required,1,Single,Yes,,Match channel to delivery catheter.
SLOT-A24CA7DB72,EBV,Platform,2,VIDEO_PROCESSOR,Compatible processor/light source,"Video processor, light source, or integrated display platform.",Required,1,Single,Yes,,
SLOT-C4034E9595,EBV,Assessment,3,GENERIC_COLLATERAL_VENT,Collateral ventilation assessment platform/catheter,Platform/catheter for collateral ventilation assessment.,Conditional,1,Single,Yes,Selected valve workflow,
SLOT-B14DF27813,EBV,Implant,4,EBV_VALVE,Endobronchial valve(s),One-way endobronchial valve implant.,Required,1,Multiple,Yes,,Allow multiple sizes and quantities.
SLOT-D48FE87D5A,EBV,Implant,5,EBV_DELIVERY_CATHETER,Valve deployment catheter,Deployment catheter for endobronchial valves.,Required,1,Single,Yes,,Must match valve family and bronchoscope channel.
SLOT-6AC64B5E3D,EBV,Retrieval,6,FOREIGN_BODY_FORCEPS_FLEX,Valve retrieval forceps,Flexible forceps for foreign body or tissue retrieval.,Conditional,1,Single,Yes,Reposition/removal anticipated,
SLOT-D336807B69,EBV,Suction,7,GENERIC_SUCTION,Suction setup,Generic suction setup.,Required,1,Single,Yes,,
SLOT-030A408C27,EBV,Rescue,8,CHEST_TUBE_SMALL_BORE,Chest tube kit immediately available,Seldinger or pigtail pleural drainage catheter.,Required,1,Single,Yes,,Institutional emergency preparedness requirement to validate.
SLOT-022D0D3DC6,EBV,Rescue,9,GENERIC_DRAINAGE_UNIT,Chest drainage unit,Wet or dry suction chest drainage unit.,Required,1,Single,Yes,,
SLOT-639A3A4E14,EBV,Sizing,10,EBV_SIZING_KIT,Valve sizing kit,Airway sizing kit matched to the selected valve family.,Conditional,1,Single,Yes,Valve workflow requires manufacturer sizing kit,
SLOT-C657258C05,EBV,Sizing,11,EBV_SIZING_BALLOON,Valve sizing balloon catheter,Sizing balloon catheter matched to the valve system and bronchoscope channel.,Conditional,1,Single,Yes,Valve sizing performed,
SLOT-E91A13EE9E,THORACENTESIS,Imaging,1,GENERIC_ULTRASOUND,Ultrasound machine and sterile probe cover,Ultrasound platform and sterile probe cover.,Required,1,Single,Yes,,
SLOT-A13A73CA93,THORACENTESIS,Access/drainage,2,THORACENTESIS_KIT,Thoracentesis catheter/tray,"Integrated thoracentesis catheter, tray, or drainage kit.",Required,1,Single,Yes,,
SLOT-CA34F60BE9,THORACENTESIS,Drainage,3,GENERIC_SUCTION,Drainage tubing and vacuum bottle/bag or wall-suction adapter,Generic suction setup.,Required,1,Multiple,Yes,,
SLOT-103FF61AAC,THORACENTESIS,Sampling,4,GENERIC_SPECIMEN,"Chemistry, microbiology, cytology containers and labels","Laboratory containers, labels, and transport materials.",Conditional,1,Multiple,Yes,Diagnostic sampling planned,
SLOT-23A6DA3B89,THORACENTESIS,Post-procedure,5,GENERIC_SPECIMEN,Dressing and securement supplies,"Laboratory containers, labels, and transport materials.",Required,1,Multiple,Yes,,
SLOT-C174DA0A4E,THORACENTESIS,Drainage,6,PLEURAL_DRAINAGE_ACCESSORY,Drainage adapter / connecting tube,"Compatible adapter, drainage tubing, and collection connection.",Conditional,1,Multiple,Yes,Selected thoracentesis system requires separate accessories,
SLOT-C7DBD5BC4C,CHEST_TUBE,Imaging,1,GENERIC_ULTRASOUND,Ultrasound machine and sterile probe cover,Ultrasound platform and sterile probe cover.,Optional,1,Single,Yes,Image-guided insertion,
SLOT-708736B8C2,CHEST_TUBE,Tube,2,CHEST_TUBE_SMALL_BORE,Small-bore Seldinger/pigtail chest drain,Seldinger or pigtail pleural drainage catheter.,Conditional,1,Single,Yes,Small-bore approach selected,
SLOT-D5C3DB0027,CHEST_TUBE,Tube,3,CHEST_TUBE_LARGE_BORE,Large-bore chest tube set,Large-bore percutaneous or surgical chest tube set.,Conditional,1,Single,Yes,Large-bore percutaneous approach selected,
SLOT-4D849E266F,CHEST_TUBE,Tube,4,CHEST_TUBE_SURGICAL,Surgical thoracic catheter/trocar tube,Straight/right-angle surgical chest tube or trocar catheter.,Conditional,1,Single,Yes,Surgical/trocar approach selected,
SLOT-20D17E94D4,CHEST_TUBE,Pneumothorax,5,PNEUMOTHORAX_KIT,Dedicated pneumothorax aspiration/drainage kit,Small-bore catheter kit for pneumothorax.,Optional,1,Single,Yes,Appropriate pneumothorax workflow,
SLOT-3631C94D7A,CHEST_TUBE,Drainage,6,GENERIC_DRAINAGE_UNIT,Chest drainage unit,Wet or dry suction chest drainage unit.,Required,1,Single,Yes,,
SLOT-CE48C1B108,CHEST_TUBE,Drainage,7,GENERIC_SUCTION,Suction tubing/connectors,Generic suction setup.,Required,1,Multiple,Yes,,
SLOT-D02F71E583,CHEST_TUBE,Long-term drainage,8,IPC_INSERTION_KIT,Indwelling pleural catheter kit,Tunneled indwelling pleural catheter and insertion kit.,Optional,1,Single,Yes,Long-term recurrent effusion pathway,
SLOT-B4E5C6A7A9,CHEST_TUBE,Long-term drainage,9,IPC_DRAINAGE_KIT,Compatible IPC drainage kits,"Vacuum bottle, bag, or drainage set for an indwelling pleural catheter.",Conditional,1,Multiple,Yes,IPC selected,
SLOT-4BE1D79D6C,CHEST_TUBE,Post-procedure,10,GENERIC_SPECIMEN,"Securement, suture, dressing, and labels","Laboratory containers, labels, and transport materials.",Required,1,Multiple,Yes,,
SLOT-AECDA16326,CHEST_TUBE,Drainage,11,PLEURAL_DRAINAGE_ACCESSORY,Pleural drainage adapters / tubing / one-way valve,"Compatible tubing adapters, connecting tubes, valves, and sampling ports.",Conditional,1,Multiple,Yes,Selected catheter requires accessory components,
SLOT-702914B1CF,CHEST_TUBE,Long-term drainage,12,IPC_DRESSING_KIT,IPC dressing kit,Dressing supplies compatible with selected IPC system.,Conditional,1,Single select,Yes,Required when IPC_INSERTION_KIT is selected,
SLOT-67171A33D4,CHEST_TUBE,Long-term drainage,13,IPC_MANAGEMENT_ACCESSORY,IPC management accessories,"Valve, cap, drainage line, adapter, or removal kit for selected IPC system.",Conditional,1,Single select,Yes,Required as applicable for selected IPC system,
SLOT-6E9F37C656,IPC_PLACEMENT,Imaging,1,GENERIC_ULTRASOUND,Ultrasound machine and sterile probe cover,Ultrasound platform and sterile cover for pleural access.,Required,1,Single select,Yes,,
SLOT-1BCF3D0702,IPC_PLACEMENT,Catheter system,2,IPC_INSERTION_KIT,Indwelling pleural catheter insertion kit,Select one tunneled pleural catheter system and exact kit configuration.,Required,1,Single select,Yes,,
SLOT-3FBC244FAF,IPC_PLACEMENT,Drainage,3,IPC_DRAINAGE_KIT,Compatible IPC drainage kit,Select the bottle or bag system compatible with the chosen catheter.,Required,1,Single select,Yes,,
SLOT-6693BCAEE1,IPC_PLACEMENT,Dressing,4,IPC_DRESSING_KIT,Compatible IPC dressing kit,Select compatible dressing pack and discharge supplies.,Required,1,Single select,Yes,,
SLOT-1E91C231E5,IPC_PLACEMENT,Accessories,5,IPC_MANAGEMENT_ACCESSORY,IPC management accessories,"Valve cap, drainage line, adapters, repair/removal kit, and home supplies as applicable.",Conditional,1,Single select,Yes,,
SLOT-27D1A61598,IPC_PLACEMENT,Drainage,6,GENERIC_SUCTION,Initial drainage connection,"Vacuum bottle, bag, syringe, wall suction, or water-seal connection per selected system IFU.",Required,1,Single select,Yes,,
SLOT-CA2DF6D3A0,IPC_PLACEMENT,Sampling,7,GENERIC_SPECIMEN,Pleural fluid specimen containers and labels,"Chemistry, microbiology, and cytology containers as ordered.",Conditional,1,Single select,Yes,,
SLOT-01010CB364,IPC_PLACEMENT,Post-procedure,8,GENERIC_SPECIMEN,"Securement, dressing, and patient education materials",Local catheter securement and home-care education package.,Required,1,Single select,Yes,,
