product_id,source_id,source_location,claim_type,verification_status,notes
PRD-2B8AACAB67,SRC029,p. 2,Exact catalog entry,Verified - manufacturer flyer; current U.S. status pending,
PRD-2BC12F8AEF,SRC030,p. 74,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-2BD5C6261D,SRC021,pp. 53-55,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-2C2F29762E,SRC022,p. 7.04,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-2C4537F4D4,SRC012,Respiratory 14.03 (PDF p. 116),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-2C4537F4D4,SRC029,p. 1,Exact catalog entry,Verified - manufacturer flyer; current U.S. status pending,
PRD-2C648B78A4,SRC026,p. 6,Exact catalog entry,Verified - U.S. manufacturer brochure,
PRD-2C8EBB26DF,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-2CCE54EDFD,SRC003,p. 14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-2CCE54EDFD,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-2CCE54EDFD,SRC015,"Ordering information, pp. 3-4",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-2CE58D8A14,SRC008,CSV row 16,Candidate seed,Candidate - user seed; primary source required,
PRD-2CEB73CB15,SRC006,Product list 2025!bonastent,Candidate seed,Candidate - user seed; primary source required,
PRD-2D0C9B936A,SRC024,p. 2,Exact catalog entry,Verified - current manufacturer brochure,
PRD-2D588804C5,SRC006,Product list 2025!Sheet6,Candidate seed,Candidate - user seed; primary source required,
PRD-2DA93F54B9,SRC024,p. 2,Exact catalog entry,Verified - current manufacturer brochure,
PRD-2DACCAD2B4,SRC030,p. 73,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-2DBF0805A2,SRC021,p. 18,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-2E03B33575,SRC006,Product list 2025!Sheet5,Candidate seed,Candidate - user seed; primary source required,
PRD-2E03B33575,SRC027,p. 5,Exact catalog entry,Verified - manufacturer catalog,
PRD-2E043ED827,SRC029,p. 1,Exact catalog entry,Verified - manufacturer flyer; current U.S. status pending,
PRD-2E1A3E4B68,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-2E6996BA6A,SRC026,p. 6,Exact catalog entry,Verified - U.S. manufacturer brochure,
PRD-2EAA2EFE2C,SRC012,Respiratory 14.16 (PDF p. 131),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-2EB4F34219,SRC021,pp. 15-17,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-2EB7F5EEC1,SRC021,p. 10,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-2EBBDD96EC,SRC012,Respiratory 14.08 (PDF p. 121),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-2EE09F18D7,SRC027,p. 7,Exact catalog entry,Verified - manufacturer catalog,
PRD-2F1A67DE53,SRC030,p. 92,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-2F3F39DBA3,SRC003,p. 7,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-2F7DDD739E,SRC003,p. 11,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-2FACCCFC02,SRC030,p. 89,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-2FBD344316,SRC021,pp. 44-48,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-2FFEEB98B2,SRC002,pp. 2-5,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-3097FD9A2E,SRC018,"Accessories for ERBECRYO 2, catalog p. 7",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-31DA7C7FF7,SRC008,CSV row 25,Candidate seed,Candidate - user seed; primary source required,
PRD-32203FFD61,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-3236D0CEDC,SRC021,pp. 49-51,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-3296D18171,SRC003,pp. 13-14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-3296D18171,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-3296D18171,SRC015,"Ordering information, pp. 2-3",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-32BD35D821,SRC001,p. 14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-33120D5BE2,SRC030,pp. 68-69,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-3353BDD6CD,SRC017,"Bipolar cables, catalog p. 9",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-33C62E2093,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-3402724B0E,SRC003,pp. 13-14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-3402724B0E,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-3402724B0E,SRC015,"Ordering information, pp. 2-3",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-34234ED158,SRC007,Therapeutic bronchoscopy,Candidate seed,Candidate - user seed; primary source required,
PRD-34234ED158,SRC012,Respiratory 14.11 (PDF p. 124),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-34598AB94A,SRC006,Product list 2025!bonastent,Candidate seed,Candidate - user seed; primary source required,
PRD-34895D701B,SRC012,Respiratory 14.12 (PDF p. 125),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-34BAA70074,SRC029,p. 2,Exact catalog entry,Verified - manufacturer flyer; current U.S. status pending,
PRD-354ECD3DC4,SRC030,p. 86,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-35D1C951DD,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-35EC8EE328,SRC003,p. 12,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-365451442E,SRC012,Respiratory 14.10 (PDF p. 123),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-369E8F396B,SRC013,Tracheal stent specifications (PDF p. 12),Catalog/SKU evidence,Verified exact catalog entry - global/older source,Exact catalog/SKU evidence from an older global manufacturer catalog; U.S. status unverified.
PRD-36CD5DBC39,SRC027,pp. 9-10,Exact catalog entry,Verified - manufacturer catalog,
PRD-36D0F6CBA0,SRC008,CSV row 14,Candidate seed,Candidate - user seed; primary source required,
PRD-36F32A458B,SRC021,pp. 15-17,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-377440703A,SRC030,p. 144,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-388B36D2E2,SRC021,p. 13,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-38F9E96675,SRC030,p. 88,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-394135E376,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-39EB1A695C,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-3A183102CF,SRC019,"FiAPC probes, catalog pp. 5-6",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-3A27A7B76D,SRC008,CSV row 4,Candidate seed,Candidate - user seed; primary source required,
PRD-3A4F408F18,SRC021,p. 20,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-3A6898898E,SRC013,Tracheal stent specifications (PDF p. 12),Catalog/SKU evidence,Verified exact catalog entry - global/older source,Exact catalog/SKU evidence from an older global manufacturer catalog; U.S. status unverified.
PRD-3A7C0C418C,SRC025,pp. 2-3,System intended use and compatibility,Verified - manufacturer IFU,IFU supports tunneled long-term pleural drainage system identity and approved access methods.
PRD-3A7C0C418C,SRC027,p. 14,Exact catalog entry,Verified - manufacturer catalog and IFU,
PRD-3AAC1114C7,SRC030,pp. 66-70,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-3BEF064A41,SRC001,p. 19,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-3C2043D9ED,SRC027,p. 7,Exact catalog entry,Verified - manufacturer catalog,
PRD-3C6D28844E,SRC013,Tracheal stent specifications (PDF p. 12),Catalog/SKU evidence,Verified exact catalog entry - global/older source,Exact catalog/SKU evidence from an older global manufacturer catalog; U.S. status unverified.
PRD-3C756110F0,SRC021,p. 10,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-3CAAB4D79C,SRC019,"APC pressure reducers and gas accessories, catalog pp. 10-11",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-3CF45A4BFF,SRC030,pp. 66-70,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-3D26E84017,SRC012,Respiratory 14.02 (PDF p. 115),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-3D383F0834,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-3D8AEACE11,SRC003,pp. 13-14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-3D8AEACE11,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-3D8AEACE11,SRC015,"Ordering information, pp. 2-3",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-3D91F04C91,SRC030,pp. 70-73,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-3ED9411F2F,SRC003,p. 11,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-3EDAA08D62,SRC008,CSV row 2,Candidate seed,Candidate - user seed; primary source required,
PRD-3F51C7D66F,SRC024,p. 2,Exact catalog entry,Verified - current manufacturer brochure,
PRD-3FE0E7E391,SRC021,p. 26,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-3FF143180F,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-400BEF3640,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-408A683593,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-40B834E981,SRC021,pp. 49-51,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-40F16EE5D5,SRC007,Therapeutic bronchoscopy,Candidate seed,Candidate - user seed; primary source required,
PRD-40F9EDE43C,SRC017,"Bipolar adapters, catalog p. 17",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-412ADCED34,SRC026,p. 6,Exact catalog entry,Verified - U.S. manufacturer brochure,
PRD-415D12A635,SRC017,"Return-electrode cables, catalog p. 14",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-41BA4FDFE6,SRC007,pleural seed,Candidate seed,Candidate - user seed; primary source required,
PRD-41BA4FDFE6,SRC008,CSV row 32,Candidate seed,Candidate - user seed; primary source required,
PRD-41BE0FC18C,SRC027,p. 7,Exact catalog entry,Verified - manufacturer catalog,
PRD-41F9791461,SRC021,p. 20,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-426476A0AB,SRC012,Respiratory 14.15 (PDF p. 130),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-427A070734,SRC030,p. 144,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-42804464C2,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-4298F66678,SRC021,p. 25,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-4361785147,SRC027,pp. 9-10,Exact catalog entry,Verified - manufacturer catalog,
PRD-438D71C59C,SRC006,Product list 2025!Sheet5,Candidate seed,Candidate - user seed; primary source required,
PRD-438D71C59C,SRC027,p. 5,Exact catalog entry,Verified - manufacturer catalog,
PRD-4423366610,SRC007,pleural seed,Candidate seed,Candidate - user seed; primary source required,
PRD-44704ED825,SRC003,pp. 13-14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-44704ED825,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-44704ED825,SRC015,"Ordering information, pp. 2-3",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-44839F0522,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-448C184685,SRC023,p. 3,Exact catalog entry,Verified - manufacturer brochure; current market status pending,
PRD-44A6CBF184,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-456C006CCE,SRC017,"Irrigation adapters, catalog p. 19",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-457AC85266,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-460DB62059,SRC025,pp. 2-3,System intended use and compatibility,Verified - manufacturer IFU,IFU supports tunneled long-term pleural drainage system identity and approved access methods.
PRD-460DB62059,SRC027,p. 14,Exact catalog entry,Verified - manufacturer catalog and IFU,
PRD-470EA6C7BA,SRC006,Product list 2025!bonastent,Candidate seed,Candidate - user seed; primary source required,
PRD-4724EA02A3,SRC013,Tracheal stent specifications (PDF p. 12),Catalog/SKU evidence,Verified exact catalog entry - global/older source,Exact catalog/SKU evidence from an older global manufacturer catalog; U.S. status unverified.
PRD-473C35E94F,SRC021,p. 18,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-481074A513,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-486F6703A9,SRC017,"Bipolar cables, catalog p. 10",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-4896D3D636,SRC017,"Bipolar cables, catalog p. 10",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-48AEE784DD,SRC022,p. 6.04,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-48CBAB53FF,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-48EEBAD727,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-492FC6BE35,SRC001,p. 24,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-49A7F962D0,SRC007,pleural seed,Candidate seed,Candidate - user seed; primary source required,
PRD-4A023D6489,SRC030,p. 86,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-4A04124FF2,SRC007,Flexible bronchoscopy platforms!2,Candidate seed,Candidate - user seed; primary source required,
PRD-4A329E27C5,SRC021,p. 5,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-4A3F2CCBBF,SRC006,Product list 2025!thoracent,Candidate seed,Candidate - user seed; primary source required,
PRD-4A98F07FC6,SRC030,p. 73,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-4AECEED0C8,SRC006,Product list 2025!bonastent,Candidate seed,Candidate - user seed; primary source required,
PRD-4B4F1501DE,SRC003,p. 14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-4B4F1501DE,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-4B4F1501DE,SRC015,"Ordering information, pp. 3-4",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-4BB84F196B,SRC021,pp. 44-48,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-4BD7E911C3,SRC021,p. 5,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-4C3147DF15,SRC022,p. 2.13,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-4C745881F9,SRC012,Respiratory 14.04 (PDF p. 117),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-4D06DCE96B,SRC017,"Return-electrode cables, catalog p. 14",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-4D5E28D425,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-4DBE64B0DA,SRC021,p. 22,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-4E186C03D4,SRC003,p. 14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-4E186C03D4,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-4E186C03D4,SRC015,"Ordering information, pp. 3-4",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-4E59B4CEB3,SRC021,p. 5,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-4E9069C30F,SRC003,p. 9,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-4E9412A49F,SRC019,"FiAPC plus probes, catalog p. 4",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-4F06212417,SRC021,p. 22,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-4F64240AD0,SRC021,pp. 49-51,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-4F9AA3907F,SRC003,p. 14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-4F9AA3907F,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-4F9AA3907F,SRC015,"Ordering information, pp. 3-4",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-5070336E33,SRC006,Product list 2025!Sheet7,Candidate seed,Candidate - user seed; primary source required,
PRD-509226DE95,SRC007,Perc trach and WLL,Candidate seed,Candidate - user seed; primary source required,
PRD-50AAFE240E,SRC021,p. 19,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-50DCC12BE8,SRC030,p. 72,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-50F36C0CF9,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-513E7E5BCD,SRC027,p. 8,Exact catalog entry,Verified - manufacturer catalog,
PRD-523148A737,SRC021,p. 10,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5255AADD2C,SRC006,Product list 2025!bonastent,Candidate seed,Candidate - user seed; primary source required,
PRD-526F08F11A,SRC030,p. 75,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-529E58AC8C,SRC021,pp. 53-55,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-52C5BEC3A1,SRC007,Perc trach and WLL,Candidate seed,Candidate - user seed; primary source required,
PRD-534A17E0C9,SRC027,p. 7,Exact catalog entry,Verified - manufacturer catalog,
PRD-535FE6B186,SRC017,"Bipolar cables, catalog p. 9",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-53805EF31F,SRC021,p. 26,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-53FF14A0C3,SRC021,p. 16,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5402A5D241,SRC001,p. 25,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-543E5F36B7,SRC021,p. 14,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5445BFA070,SRC019,"FiAPC probes, catalog pp. 5-6",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-54CEDAAE5B,SRC021,pp. 6-7,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-55094F0EC3,SRC001,p. 25,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-55D98AAFB1,SRC017,"Bipolar cables, catalog p. 12",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-55E5D08ADC,SRC019,"APC pressure reducers and gas accessories, catalog pp. 10-11",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-55F29BC1F9,SRC027,p. 5,Exact catalog entry,Verified - manufacturer catalog,
PRD-56932BDE51,SRC006,Product list 2025!bonastent,Candidate seed,Candidate - user seed; primary source required,
PRD-56DF49383B,SRC027,p. 15,Exact catalog entry,Verified - manufacturer catalog and IFU,
PRD-574BC79D2B,SRC017,"Bipolar adapters, catalog p. 16",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-5788C21B1E,SRC012,Respiratory 14.07 (PDF p. 120),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5798E6CA9D,SRC003,p. 14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5798E6CA9D,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-5798E6CA9D,SRC015,"Ordering information, pp. 3-4",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-57A313D4DB,SRC017,"Bipolar cables, catalog p. 8",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-57C0ED84C2,SRC030,p. 75,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-57CB9C3B69,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-57D0D10F0F,SRC027,p. 5,Exact catalog entry,Verified - manufacturer catalog,
PRD-57EB842692,SRC001,p. 25,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5831011F6E,SRC012,Respiratory 14.04 (PDF p. 117),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-58CFB02C8E,SRC021,pp. 53-55,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-58DB5E4909,SRC006,Product list 2025!Sheet5,Candidate seed,Candidate - user seed; primary source required,
PRD-58DB5E4909,SRC027,p. 5,Exact catalog entry,Verified - manufacturer catalog,
PRD-58DE7D49C4,SRC012,Respiratory 14.03 (PDF p. 116),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5902F1C231,SRC030,p. 92,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-592787DB28,SRC022,p. 7.07,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-5941DF2464,SRC021,p. 5,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5955133BB7,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-598FB0AD5D,SRC021,p. 15,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-59D2DF4F88,SRC021,p. 10,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5A28AF1C52,SRC001,p. 30,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5A3334BDDC,SRC001,p. 28,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5A54E4A232,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5A822E57C6,SRC003,p. 14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5A822E57C6,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-5A822E57C6,SRC015,"Ordering information, pp. 3-4",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-5A90A3DABC,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5AB3F8988B,SRC019,"FiAPC plus probes, catalog p. 4",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-5ACC570E45,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5AD92B5438,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5AEEF62066,SRC018,"Gas bottle adapter table, catalog pp. 4, 7",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-5B0D81C458,SRC021,p. 5,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5B271EC93B,SRC021,pp. 44-48,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5BA5F9BD46,SRC001,p. 25,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5BDAA5E440,SRC001,p. 24,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5C35FB169D,SRC021,pp. 15-17,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5C40D8FE80,SRC021,p. 15,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5C46BC7DA9,SRC006,Product list 2025!Sheet7,Candidate seed,Candidate - user seed; primary source required,
PRD-5C99BF6AB0,SRC027,p. 15,Exact catalog entry,Verified - manufacturer catalog and IFU,
PRD-5CBD1FD1E3,SRC003,p. 3,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5CC8131FDE,SRC024,p. 2,Exact catalog entry,Verified - current manufacturer brochure,
PRD-5CCBBDD4CF,SRC030,pp. 70-73,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-5CD03F0708,SRC021,p. 5,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5CD3FA131B,SRC017,"Bipolar cables, catalog p. 12",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-5CF4A24299,SRC012,Respiratory 14.12 (PDF p. 125),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5D09EFABDD,SRC016,"Specifications table, brochure p. 2",Catalog/SKU evidence,Verified - manufacturer/distributor brochure,
PRD-5D0F775ADC,SRC030,p. 66,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-5D118F7388,SRC021,p. 14,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5DFC2E8E8B,SRC018,"Accessories for ERBECRYO 2, catalog p. 6",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-5E2713887A,SRC021,p. 44,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5E4F566AA2,SRC001,p. 24,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-5E6845A633,SRC021,p. 10,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-5EF986AAB1,SRC012,Respiratory 14.15 (PDF p. 130),Catalog/SKU evidence,Verified - manufacturer catalog,
